experiment,AV_Rates,EV_Rates,Ecommerce,HH_EMP_Distribution,HH_EMP_Growth,Heavy_Medium_Truck_Travel,Incentives_Special_AreaPop,Road_User_Fee,Roadway_Capacity_Improvement,Teleworking,Transit_Headways,Transit_Service_Expansion
40,0.7618074414831397,0.24393298632828952,0.03307601950726868,0.3959674328566556,0.2947597879502798,0.09554128556836805,0.09836022321468185,0.09877489906021887,High,0.2423637375184005,0.5488115974253283,No-Expansion
41,0.17188235903720572,0.009544266159794238,0.05107719179095141,0.6525406226275386,0.31822905353530534,0.5078934423904844,0.31224881451783676,0.048267277598395886,High,0.17417027007160116,1.5269148774736983,No-Expansion
42,0.9268363522895859,0.6105309521778071,0.04440302681229094,0.8208044677688245,0.8869675544904143,0.8887628848644198,0.16903952957582052,0.013089570894588676,High and Medium,0.34362630046482984,1.0842057652723098,Expansion
43,0.6885171594276442,0.07842694063988298,0.11563643684206987,0.4462238231537634,0.26567212839698423,0.7460461630240527,0.037567704232211216,0.026971667915340614,High and Medium,0.3171006324642895,0.8434338008425755,No-Expansion
44,0.21231393014224043,0.20272652475059882,0.029407349519681172,0.3199543877704375,0.5303206905696364,0.97688133066978,0.09443921266116748,0.016564875210611615,High,0.10205630140427767,1.8871763353195807,No-Expansion
45,0.33311951732474193,0.19697634630955374,0.04094424852903446,0.9835969824935874,0.7060137336198964,0.5215042848153518,0.42654902305715175,0.06944205024500254,All,0.15732545631127634,1.1065710269978861,Expansion
46,0.5397748721760173,0.08496281020052981,0.10702643018271488,0.4110159610466383,0.6495284281864453,0.08777882118078184,0.2759301185780449,0.051699159678762034,High,0.2517551445613141,0.5982263911854706,No-Expansion
47,0.03355948783329985,0.5120397694337733,0.005273979344875754,0.9650165868482293,0.664919249087474,0.9468153150064942,0.41524575101825056,0.08749688102476649,High and Medium,0.28700156362165247,0.685235380732047,Expansion
48,0.6435085195624298,0.3442558095342967,0.011106242369091041,0.57555300145266,0.3980524214016057,0.4366514230007853,0.23129312516471373,0.09497177772202486,High,0.3048973627036994,1.0729819603376012,Expansion
49,0.0843360693236373,0.8047105379422387,0.04878496140329879,0.2869657023732871,0.7679794617137401,0.22553171728111565,0.43085411439611326,0.03517783576748216,All,0.2234647096795349,1.9773547912212293,Expansion
50,0.5097939498728358,0.29127329879518715,0.03160954949528283,0.8680457754438853,0.1567437145463319,0.055483184303563346,0.019660711345508862,0.04736071446119731,High and Medium,0.35183127525696567,1.724060861814309,Expansion
51,0.9452455130033598,0.058318654417969046,0.1930681089667742,0.33641633246218294,0.25413145102636614,0.3187544750245373,0.19137165385736968,0.003713694944799679,High,0.2578213117372376,0.583828989473892,Expansion
52,0.4388147431722061,0.6559417463347186,0.12416515201493006,0.3804508727317986,0.730154121912061,0.8003742266133509,0.4868619235367285,0.05341896869604741,High,0.3580133353417375,1.2882348515094533,No-Expansion
53,0.5547158216161588,0.47880147607842444,0.17546345247816567,0.5072786780818535,0.9927308774602527,0.2935809385683652,0.14657773485493725,0.08541454818383308,High and Medium,0.1297079555821025,0.7985453899107968,No-Expansion
54,0.5214086248281581,0.028318706603357658,0.16756771865533657,0.15982605761810853,0.7403023912376885,0.4170666282116448,0.14497748340486602,0.014487964154420486,All,0.3792395589027544,0.5042216146101824,No-Expansion
55,0.047118300096007835,0.46866306762761495,0.10359925242725665,0.34446990911692177,0.5180426629630528,0.6543767557344458,0.21179925792877916,0.01738420783894601,High and Medium,0.26677725768067795,1.2374475140921097,No-Expansion
56,0.7364046473508346,0.32311495099994286,0.19522634528296517,0.332362360921467,0.1630215865829187,0.7012239922641054,0.035728482565191004,0.07648137687398711,All,0.31342447784636246,1.843275927281167,Expansion
57,0.3079365389510017,0.6035451769191641,0.0006887198504281102,0.9438411078776868,0.014283597912275438,0.1819037757271314,0.22001396557029237,0.09218902822253612,All,0.35644568548699007,0.535136483684838,Expansion
58,0.05997308732025756,0.8165474490284597,0.18272782497017556,0.8817421054823112,0.7453103423728474,0.9919959531409779,0.45429060369141566,0.06307094663251332,High,0.3377095223124235,1.458792783676495,No-Expansion
59,0.790416083563929,0.2988483662061888,0.17791776140317073,0.6609454284807458,0.9723908130795929,0.4064423196918811,0.49930047135717964,0.00851156750025196,High and Medium,0.38148545651889343,1.124508494337063,No-Expansion
60,0.6080038191113928,0.022588119905573075,0.011966066452273879,0.2586524769042906,0.04641759357233397,0.854841670061826,0.2453761906623573,0.03898035377090325,High and Medium,0.3354424331689868,0.8839366357898615,No-Expansion
61,0.8031759856062499,0.5339753996957086,0.06306386551683855,0.45073323802385357,0.8826278267848949,0.8693141917890128,0.3278628725965276,0.06805226935151923,All,0.32605216807036935,1.281190173487902,Expansion
62,0.7944244683568462,0.710263637451132,0.1512439861527599,0.5679982315559382,0.12731374846175858,0.239409360555495,0.010235821854602097,0.05437336936418646,High,0.2730996851653674,1.6746843076216065,No-Expansion
63,0.6521743621123528,0.37023135994670237,0.17165450330938806,0.0034346628545398367,0.7778690646227007,0.7137385783265893,0.23533012338949194,0.058393172700054286,High and Medium,0.2978188209031378,1.4715868374908558,No-Expansion
64,0.18054575906297693,0.4933961440455186,0.10005751238374648,0.8851654296369298,0.8501167865329474,0.6731491462256596,0.1722183838145156,0.007031840616133794,High and Medium,0.11973900496692655,1.543711193202319,Expansion
65,0.15151496192952485,0.9062791252623424,0.14157825126211035,0.6238549318738965,0.37148614940840097,0.9172066938393816,0.05947286352723927,0.07446442069352427,High,0.21977519118412758,0.8291327568004663,No-Expansion
66,0.9364733328273895,0.9371494098021936,0.1546345635672769,0.06989703533828623,0.18868992015282932,0.5369564449372494,0.43824211963880066,0.010317876072608824,All,0.15157219805058925,1.9921153523726964,No-Expansion
67,0.8251188213573397,0.6960437400522929,0.09762150406408164,0.09519539976269092,0.3125129054865241,0.2541706017446786,0.05272985632387436,0.0154725676303291,All,0.2453939018283563,1.688460805746312,No-Expansion
68,0.3694927941795825,0.160703515842747,0.18862952255463628,0.9110470697582527,0.3061862715841773,0.6244300054662659,0.2648976000287573,0.0780069469147821,High,0.36932647385931316,1.9720957228263436,No-Expansion
69,0.6200112616996198,0.46404140529760485,0.0907075009668245,0.6739607438466787,0.9500283315870078,0.24327746971381148,0.007012687456410004,0.09769942746815852,High and Medium,0.3199727410582298,0.8115910132489388,Expansion
70,0.47056311388821376,0.7718785159207973,0.038148435656907724,0.6257174918496916,0.3790181107076714,0.4880461143396297,0.08805159209246988,0.08158723090420279,High and Medium,0.3319493693983929,1.8177833106847618,Expansion
71,0.3471008791711365,0.8530405775130309,0.03451709117818713,0.2995539721657441,0.8063386626181366,0.9129725083209735,0.29183732819465735,0.08928168184099237,High,0.21744883678464555,0.7065111640191319,Expansion
72,0.14164326786698123,0.6586104258328348,0.16187571144885024,0.4741662929388447,0.8334452681454034,0.1391670467479923,0.4806601985249575,0.05638341597014185,All,0.3870123706956773,1.4126119263355963,No-Expansion
73,0.379312185687942,0.277532145063515,0.0268678692320948,0.849090747467873,0.24649902118352213,0.9313214803626457,0.37506120405639415,0.07149134157169568,All,0.16104933136939006,1.555379092434251,Expansion
74,0.26169676296373,0.10148079114546776,0.1058150212189559,0.03781646665852531,0.1161250511009238,0.8144747433498805,0.40868370702342216,0.06846856532694962,High,0.2436626352335598,1.3269132695704475,No-Expansion
75,0.8504870563632935,0.9853689351005668,0.046824525510201456,0.7238263992777976,0.039932553345822214,0.6051313030861248,0.3570275110871137,0.020692935411475488,All,0.22689098757491002,1.1935173644319255,Expansion
76,0.7087099642520847,0.4513674345375544,0.06151489519654301,0.7808944092851908,0.6904837334250351,0.5469655173876199,0.08013104541789048,0.08406227545940045,All,0.19452537542318665,1.443777801707415,Expansion
77,0.11355900369902783,0.04445132603915753,0.12197525695001982,0.7057073214771311,0.2291734355743909,0.49685369710162547,0.3404886024102549,0.0644573786726345,High,0.1828533576229288,0.9561392776995201,Expansion
78,0.2334005700977244,0.3007864410691704,0.11218820892152848,0.3664627666265002,0.33620170492483104,0.47424132832763793,0.4713861524359715,0.09696954649871792,High and Medium,0.36520290386881504,1.9224127016942554,Expansion
79,0.3868156688271254,0.8984344040623258,0.041892942466295595,0.8271460821613434,0.8310818110209928,0.3862381806923242,0.16580402427429392,0.08643416049182417,High,0.34589387713239816,1.1506187640438768,No-Expansion
80,0.5000528527792177,0.036900269888733406,0.1476184577262474,0.8635873550024329,0.8447647313713267,0.2782748056132435,0.3836938201540075,0.08212382379398292,All,0.19242198001291028,1.5089542584524998,Expansion
81,0.5952017194508311,0.7362237926720839,0.11388644919194127,0.7331497618823913,0.2778908279676058,0.18934046338366012,0.002804650528610713,0.08000899225303516,High,0.10922932001648575,1.3568908224856449,No-Expansion
82,0.11968985655177972,0.42816018721897436,0.06509251722257287,0.40438207951782257,0.6958467187275064,0.11581322961116208,0.4764867593380231,0.05043141207245039,High and Medium,0.21005658118988085,1.3918058450023931,No-Expansion
83,0.6801565632765134,0.7484117200439651,0.002830908731027167,0.37153265495424725,0.44030697105049116,0.5312784609584924,0.12784378134123847,0.04003271786073148,All,0.25553205472763296,1.0617676800453033,Expansion
84,0.7534916731973262,0.397339956250444,0.18597183386913999,0.687071409317838,0.3566219835581724,0.8381988482430214,0.3452554002272005,0.02241502273193291,High,0.39681561676001076,0.6469164127703388,Expansion
85,0.5417809281954508,0.5002381937263451,0.09368375518967673,0.7725566378494376,0.2350337129102747,0.6777194336175681,0.45977737043641953,0.0825715244404519,High,0.1866830454034623,1.147515095425018,Expansion
86,0.10344457994933054,0.21979648312475264,0.0861401811432812,0.050256267367795746,0.6127989440771472,0.2638366452504137,0.10265334386470953,0.0953105378993237,High and Medium,0.1975959909195275,1.4828378889311222,No-Expansion
87,0.1601654763520759,0.25766438272264724,0.02353295799681875,0.3081736148582629,0.9141443206842886,0.9596674677501411,0.4540578025212001,0.02298014381370622,All,0.390896718236727,1.7568535601363175,Expansion
88,0.021082805642407113,0.6847659437361491,0.1639217192683919,0.8089022270000457,0.5803358340071665,0.9529613196520648,0.1940199404218506,0.039282785369081696,High and Medium,0.2143778531367481,0.9339701027793517,No-Expansion
89,0.03149725029253432,0.312083469502227,0.1912349625133858,0.7466012466483358,0.5550899650929654,0.48228447689242365,0.2254512909150176,0.0793229122341084,High and Medium,0.3746641791153311,0.7191105776459258,No-Expansion
90,0.8460143943393463,0.5598331852673606,0.008635110849144567,0.42969802048856737,0.7956853578079772,0.03802357956201475,0.29807521263352976,0.05095250454267495,High and Medium,0.20238554125736566,1.7439913926921733,No-Expansion
91,0.6292123052908531,0.9442376427055835,0.023287804599130615,0.04592016696590799,0.4672048855793609,0.3807662523328277,0.20114961715261148,0.023366315046587895,High and Medium,0.1696989118954271,0.5154871368669655,Expansion
92,0.0005433854237532665,0.9332415138121898,0.08674158197836918,0.6369696180794348,0.42721999511096864,0.06104731000254255,0.04725161884459994,0.0011477318674046938,All,0.2946649062355329,1.946619311134911,No-Expansion
93,0.09506874082685124,0.39102369613409266,0.09845260978972353,0.25567360215334745,0.6313867958848802,0.07682614391452221,0.07886380328854431,0.043028241941365813,High,0.141780142804492,0.6749509403301502,Expansion
94,0.5641935168109777,0.642765649276726,0.15775537674379103,0.07578688898289787,0.7866782318882113,0.3384295903435731,0.321046692354462,0.07905374943300181,All,0.3766594275855445,0.7833984259951465,Expansion
95,0.9827035828202363,0.8332382960597087,0.016382815208832193,0.21955925824559203,0.9894293955538642,0.5958070550235612,0.3697451360214671,0.008240980095121836,High and Medium,0.228461987379292,1.8946417363337102,Expansion
96,0.287917595130903,0.8422464798511615,0.12980274395812788,0.4333765265693009,0.9320261653809029,0.3109064130757457,0.4932950077745292,0.02531553879495731,High and Medium,0.10544826033152682,1.9544637420066164,Expansion
97,0.311103746526609,0.41714532693095135,0.08093433777927822,0.31397247844103626,0.3664831588914684,0.7620152200023247,0.028807872999974643,0.0739780625718084,High and Medium,0.14436133014823072,0.8133034183903944,Expansion
98,0.9636932133060921,0.582232354395849,0.08990022048904184,0.7884782487288203,0.09880545995698703,0.8472581978617008,0.4007085914268939,0.03346430421237558,High,0.23691755988062552,1.6838477454920757,No-Expansion
99,0.42460026941848406,0.8405320173413182,0.1595158249832627,0.42443801892420224,0.9469630588786885,0.8968636682945136,0.1302757239293832,0.03805050985844155,High and Medium,0.13789136863237506,0.9154349096015422,Expansion
100,0.9934534923881839,0.7063318630638068,0.12044348045708686,0.9272940783992734,0.6233322655042995,0.19642066606268493,0.2857979870759565,0.04950459898795495,High,0.2900057548624938,1.0473159283272788,No-Expansion
101,0.6158734777399776,0.2141279967406159,0.138565415555948,0.6009689971585984,0.1763812456206587,0.7874550372476059,0.3484898605645637,0.045894599003210024,High and Medium,0.16380421927939637,1.8669994340196456,Expansion
102,0.6710716165708667,0.1290375960042906,0.14637336601645975,0.1346539033249643,0.5585456262505718,0.16397274002113943,0.37461128103850816,0.05736422980306436,All,0.12189642781522668,1.5633915247834942,Expansion
103,0.5813129058565377,0.9213389324584699,0.014033629381535831,0.23818701438818063,0.5910693114290896,0.01874824007851889,0.21274129404697548,0.07300579308494744,High,0.17610292226350646,0.8973150622027325,No-Expansion
104,0.7710196642904871,0.533259232045834,0.1522654102515508,0.715182018021359,0.7123584547436437,0.7947656214637014,0.3501796816288957,0.08457720837472951,High and Medium,0.18222139564328552,1.617356276485781,No-Expansion
105,0.48828754712949507,0.7923597105657156,0.1742442780963466,0.694214690979478,0.28660151619901875,0.5144435449578878,0.10441424193013754,0.037299776282569884,High,0.1788232882989515,1.6544595933450972,Expansion
106,0.9114235032104163,0.9647099400383107,0.13296872017308892,0.4604084937029224,0.40699421441806927,0.6624090358466651,0.06617595025712422,0.013696970323645875,High and Medium,0.11221247884287898,1.0939511658621972,No-Expansion
107,0.9006852706337414,0.6775887191124318,0.17947072380087878,0.26958286682980326,0.2092903021852528,0.8271708233459947,0.44913246822908376,0.02908144632051629,High,0.12613169154318887,0.8729071008303693,No-Expansion
108,0.36274933254981867,0.6730931790557179,0.15600351046972394,0.1442026990526029,0.815719028449154,0.5531932793863358,0.11766964469740027,0.04435734648988172,High and Medium,0.2717097821394116,1.4037705618921574,No-Expansion
109,0.25632631734917266,0.40222146798458036,0.056652774143436925,0.21184885729281033,0.8730729484529696,0.39628515061499614,0.49120806993401833,0.09937560188596964,All,0.39765299905709084,1.2692670727409945,No-Expansion
110,0.21681481754898024,0.13637881822762926,0.11112950740186632,0.22892953200778932,0.1699781507819738,0.8183516435641777,0.13473946583768132,0.036408103155537254,High and Medium,0.3618513431158874,1.6290378331296693,Expansion
111,0.8752944518427819,0.40876402016299385,0.09610328038541159,0.026858013320485524,0.5424808788692902,0.7204420373941592,0.27249488897290436,0.019027997897593543,All,0.15418149186410418,1.1640602894194394,No-Expansion
112,0.19953289259397,0.14176595405607145,0.12629800803262184,0.5524253307407088,0.9066205084434584,0.8662962061228809,0.1869986325347759,0.09320579828783254,All,0.23002598950054504,1.1271172987197327,No-Expansion
113,0.411713076564824,0.3578530248329095,0.019936102166735192,0.4901533813622634,0.10644639865508687,0.7310297068548004,0.15627484757246723,0.0529437695006608,High,0.2766830547514472,0.7510074265767741,Expansion
114,0.12873251579234934,0.007912958134976056,0.16948204056267524,0.9685719664122283,0.26798583499158857,0.9007437213165466,0.3614631083826665,0.07570132299896187,High,0.354474811990223,1.855787706452311,Expansion
115,0.2065219659182353,0.49138943905005894,0.14493282065472285,0.062161290953250875,0.38882917675392503,0.7822441714159896,0.030624371103967464,0.002674083586347753,All,0.33457693654741494,0.9857329178012211,Expansion
116,0.6381182732706938,0.6369933283762783,0.14932991829470083,0.008471205217773612,0.5965050466382618,0.004895913651213942,0.2543834959514274,0.012083106324393267,All,0.30748595508413257,1.5138044402416482,No-Expansion
117,0.44897021567073225,0.6180465513133512,0.0832814610130338,0.18678035470798893,0.3488547897255221,0.2071002798219439,0.01529997066269245,0.09132615718734703,High,0.19641763871029133,0.735662344578039,No-Expansion
118,0.3196698775690092,0.7332143777922918,0.13623904647440932,0.9562638660153446,0.22040951597217645,0.1666814815395813,0.12381910340417768,0.06102820897012165,All,0.15965390401712623,0.9949640380279169,No-Expansion
119,0.6952274505877865,0.8647640301391843,0.08342328562076597,0.8411425879824694,0.14429734151697338,0.3260486173624647,0.18192352925473032,0.004357973196155284,All,0.11272792798012356,1.3864447982350177,No-Expansion
120,0.3986152763219877,0.17368217869731484,0.1992563934652024,0.8514492818522217,0.005163738225836907,0.7576502886021225,0.3326459779041096,0.005361958933406073,High,0.28042228294461014,0.7647214534308078,Expansion
